norad_id,nome,tipo_objeto,pais,tamanho_rcs,periodo_min,inclinacao,apogeu_km,perigeu_km,altitude_km,velocidade_kms,risco_colisao,eh_detrito,idade_anos,data_lancamento,data_decaimento,alerta_ativo
959,OPS 6582 (TRANSIT 5E-5),PAYLOAD,,MEDIUM,105.69,90.01,1057,996,1033.85,7.337,1.5,0,,,,0
960,SCOUT X-4 DEB,DEBRIS,,MEDIUM,90.93,81.23,346,294,327.31,7.714,13.0,1,,,,1
961,OPS 3358,PAYLOAD,,,88.17,74.94,210,158,191.07,7.794,9.0,0,,,,0
962,SCOUT X-4 DEB,DEBRIS,,,92.53,37.33,583,214,405.65,7.669,13.0,1,,,,1
963,EXPLORER 26 (EPE-D),PAYLOAD,,MEDIUM,89.08,19.69,268,189,236.14,7.767,9.0,0,,,,0
964,OPS 3762,PAYLOAD,,,88.15,70.06,195,171,190.08,7.794,9.0,0,,,,0
965,OPS 6582 (TRANSIT 5B-5),PAYLOAD,,LARGE,106.12,90.08,1076,1017,1053.92,7.327,1.5,0,,,,0
967,THOR ABLESTAR DEB,DEBRIS,,MEDIUM,105.31,89.95,1026,991,1016.09,7.346,5.5,1,,,,0
968,COSMOS 52,PAYLOAD,,,89.41,64.99,288,203,252.45,7.758,9.0,0,,,,0
969,SL-3 R/B,ROCKET BODY,,,87.73,64.99,162,162,169.22,7.807,9.0,0,,,,0
970,SL-3 DEB,DEBRIS,,,89.28,64.95,298,180,246.03,7.761,13.0,1,,,,1
971,SL-3 DEB,DEBRIS,,,89.40,65.06,282,208,251.96,7.758,13.0,1,,,,1
972,OPS 3928,PAYLOAD,,,88.22,74.97,219,154,193.55,7.792,9.0,0,,,,0
973,OPS 7040,PAYLOAD,,LARGE,87.62,98.65,161,152,163.75,7.81,9.0,0,,,,0
974,OPS 7040 DEB,DEBRIS,,,92.98,98.83,465,375,427.61,7.657,13.0,1,,,,1
975,OPS 7040 DEB,DEBRIS,,,92.56,98.77,431,369,407.12,7.669,13.0,1,,,,1
976,SCOUT X-4 DEB,DEBRIS,,MEDIUM,102.26,79.32,948,784,872.76,7.418,5.5,1,,,,0
977,SCOUT X-4 DEB,DEBRIS,,MEDIUM,104.42,80.04,1060,874,974.41,7.366,5.5,1,,,,0
978,TIROS 9,PAYLOAD,,MEDIUM,118.90,96.40,2559,703,1638.67,7.054,1.5,0,,,,0
979,DELTA 1 R/B,ROCKET BODY,,MEDIUM,118.47,96.42,2521,703,1619.35,7.063,1.5,0,,,,0
980,OPS 4703,PAYLOAD,,,88.79,102.55,288,141,221.79,7.776,9.0,0,,,,0
981,ATLAS AGENA D R/B,ROCKET BODY,,,88.04,102.54,213,142,184.62,7.798,9.0,0,,,,0
983,COSMOS 53,PAYLOAD,,,88.14,48.64,214,151,189.58,7.795,9.0,0,,,,0
984,SL-7 R/B,ROCKET BODY,,,90.39,48.67,388,200,300.76,7.729,9.0,0,,,,0
985,SL-7 DEB,DEBRIS,,,95.08,48.70,828,217,529.59,7.6,13.0,1,,,,1
986,SL-7 DEB,DEBRIS,,,93.51,48.60,712,181,453.42,7.643,13.0,1,,,,1
987,OSO 2,PAYLOAD,,LARGE,87.43,32.82,148,146,154.3,7.816,9.0,0,,,,0
988,DELTA 1 R/B,ROCKET BODY,,MEDIUM,88.47,32.86,203,195,205.94,7.785,9.0,0,,,,0
1085,PEGASUS 1,PAYLOAD,,,87.68,31.72,176,143,166.73,7.808,9.0,0,,,,0
1088,APOLLO MODEL 3,PAYLOAD,,LARGE,87.67,31.72,161,157,166.24,7.809,9.0,0,,,,0
1089,COSMOS 54,PAYLOAD,,,88.10,55.96,197,164,187.59,7.796,9.0,0,,,,0
1090,COSMOS 55,PAYLOAD,,,88.94,55.98,261,183,229.22,7.771,9.0,0,,,,0
1091,COSMOS 56,PAYLOAD,,,88.23,55.96,207,167,194.04,7.792,9.0,0,,,,0
1092,SL-8 R/B,ROCKET BODY,,,88.02,55.97,192,161,183.62,7.798,9.0,0,,,,0
1094,SL-8 DEB,DEBRIS,,,94.78,56.00,774,242,515.07,7.608,13.0,1,,,,1
1095,SL-4 R/B,ROCKET BODY,,,89.43,64.74,341,152,253.44,7.757,9.0,0,,,,0
1096,OPS 4782,PAYLOAD,,,89.37,75.07,307,180,250.47,7.759,9.0,0,,,,0
1097,COSMOS 58,PAYLOAD,,LARGE,87.35,64.96,145,142,150.32,7.818,9.0,0,,,,0
1098,SL-3 R/B,ROCKET BODY,,LARGE,87.32,64.98,149,134,148.83,7.819,9.0,0,,,,0
1099,THOR ABLESTAR DEB,DEBRIS,,MEDIUM,105.66,89.81,1053,997,1032.45,7.338,5.5,1,,,,0
1100,COSMOS 57 DEB,DEBRIS,,,89.81,64.85,384,146,272.19,7.746,13.0,1,,,,1
1101,COSMOS 57 DEB,DEBRIS,,,90.13,64.98,405,157,287.96,7.737,13.0,1,,,,1
1102,COSMOS 57 DEB,DEBRIS,,,87.67,64.75,179,138,166.24,7.809,13.0,1,,,,1
1103,COSMOS 57 DEB,DEBRIS,,,88.35,64.60,218,168,200.0,7.788,13.0,1,,,,1
1104,COSMOS 57 DEB,DEBRIS,,,90.62,64.73,455,155,312.07,7.723,13.0,1,,,,1
1105,COSMOS 57 DEB,DEBRIS,,,87.64,64.89,191,124,164.74,7.809,13.0,1,,,,1
1106,COSMOS 57 DEB,DEBRIS,,,88.46,64.74,227,170,205.45,7.785,13.0,1,,,,1
1107,COSMOS 57 DEB,DEBRIS,,,87.87,64.75,219,119,176.17,7.803,13.0,1,,,,1
1108,COSMOS 57 DEB,DEBRIS,,,88.95,64.70,268,177,229.71,7.771,13.0,1,,,,1
1109,COSMOS 57 DEB,DEBRIS,,,87.50,64.75,158,143,157.78,7.814,13.0,1,,,,1
1110,COSMOS 57 DEB,DEBRIS,,,88.02,64.70,211,141,183.62,7.798,13.0,1,,,,1
1111,COSMOS 57 DEB,DEBRIS,,,89.24,64.95,316,158,244.05,7.763,13.0,1,,,,1
1112,COSMOS 57 DEB,DEBRIS,,,88.07,64.60,247,111,186.11,7.797,13.0,1,,,,1
1113,COSMOS 57 DEB,DEBRIS,,,88.36,64.64,226,160,200.49,7.788,13.0,1,,,,1
1114,COSMOS 57 DEB,DEBRIS,,,88.21,64.67,265,106,193.05,7.793,13.0,1,,,,1
1115,COSMOS 57 DEB,DEBRIS,,,89.20,64.83,340,131,242.07,7.764,13.0,1,,,,1
1116,COSMOS 57 DEB,DEBRIS,,,89.31,64.73,338,142,247.51,7.76,13.0,1,,,,1
1117,COSMOS 57 DEB,DEBRIS,,,89.06,64.78,297,160,235.15,7.768,13.0,1,,,,1
1118,COSMOS 57 DEB,DEBRIS,,,88.55,64.95,258,148,209.91,7.783,13.0,1,,,,1
